               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.039788,            0.034962,            0.019208,             0.71216,             0.67781,             0.72672,             0.45046,            0.033496,            0.019825,           0.0089424,            0.008812,            0.008812,            0.008812
                  38,            0.039565,            0.034905,            0.019298,             0.71912,             0.68238,             0.73248,             0.45482,            0.033403,            0.019808,           0.0088306,            0.008779,            0.008779,            0.008779
                  39,            0.039784,            0.035056,            0.019844,              0.7235,             0.68435,             0.73417,             0.45598,            0.033309,            0.019774,           0.0088936,            0.008746,            0.008746,            0.008746
                  40,            0.039752,            0.034867,            0.019915,             0.72433,             0.67888,             0.73488,             0.45638,            0.033276,             0.01981,           0.0088409,            0.008713,            0.008713,            0.008713
                  41,            0.039764,            0.034909,            0.019094,             0.73016,             0.67974,             0.73784,             0.45789,            0.033227,            0.019779,           0.0087534,             0.00868,             0.00868,             0.00868
                  42,            0.039728,            0.034761,            0.019214,             0.72097,             0.69248,             0.73914,             0.45999,            0.033192,            0.019782,           0.0086546,            0.008647,            0.008647,            0.008647
                  43,            0.039601,            0.034702,            0.018745,             0.72865,             0.68747,             0.73795,             0.45921,            0.033173,            0.019771,           0.0087484,            0.008614,            0.008614,            0.008614
                  44,            0.039365,            0.034575,             0.01882,             0.72562,             0.69035,             0.73782,             0.46072,            0.033136,            0.019729,           0.0086459,            0.008581,            0.008581,            0.008581
                  45,            0.039489,            0.034896,            0.019193,             0.73176,             0.68435,             0.73983,             0.46203,            0.033073,            0.019709,           0.0085881,            0.008548,            0.008548,            0.008548
                  46,            0.039432,            0.034639,            0.018644,             0.73622,             0.68501,             0.73983,             0.46258,            0.033033,            0.019705,           0.0085862,            0.008515,            0.008515,            0.008515
                  47,            0.039461,            0.034658,            0.019089,             0.74082,             0.68178,             0.73887,             0.46238,             0.03302,            0.019703,           0.0085705,            0.008482,            0.008482,            0.008482
                  48,            0.039201,             0.03441,            0.018652,              0.7345,             0.68288,             0.73861,             0.46289,            0.033001,            0.019694,           0.0085706,            0.008449,            0.008449,            0.008449
                  49,            0.039505,            0.034713,            0.018601,             0.72614,             0.69056,             0.73889,             0.46348,            0.032965,            0.019707,           0.0084951,            0.008416,            0.008416,            0.008416
                  50,            0.039231,            0.034535,            0.018494,             0.73083,             0.68671,             0.73875,             0.46336,            0.032941,            0.019715,           0.0084122,            0.008383,            0.008383,            0.008383
                  51,            0.039051,            0.034734,            0.018079,             0.72826,             0.68864,             0.73887,             0.46476,            0.032866,            0.019701,           0.0083299,             0.00835,             0.00835,             0.00835
                  52,            0.039054,            0.034644,            0.018534,             0.73758,             0.68367,             0.74065,             0.46521,            0.032839,            0.019693,            0.008275,            0.008317,            0.008317,            0.008317
                  53,            0.039048,            0.034689,            0.018144,             0.73566,             0.68513,             0.74126,             0.46582,            0.032778,            0.019685,           0.0082407,            0.008284,            0.008284,            0.008284
                  54,            0.039122,             0.03453,            0.018906,              0.7356,             0.68635,              0.7427,             0.46726,            0.032747,            0.019672,           0.0082071,            0.008251,            0.008251,            0.008251
                  55,              0.0389,            0.034561,            0.017725,             0.73391,             0.69115,             0.74296,             0.46809,              0.0327,            0.019662,           0.0081786,            0.008218,            0.008218,            0.008218
                  56,            0.038973,             0.03448,            0.017835,             0.73359,             0.68861,             0.74356,             0.46952,            0.032669,            0.019655,           0.0081637,            0.008185,            0.008185,            0.008185
                  57,            0.039151,            0.034638,            0.018283,             0.73814,             0.68663,             0.74387,             0.47036,            0.032635,             0.01965,           0.0081446,            0.008152,            0.008152,            0.008152
                  58,            0.039138,            0.034587,            0.018209,             0.73884,             0.68733,             0.74435,             0.47133,            0.032608,            0.019636,           0.0081113,            0.008119,            0.008119,            0.008119
                  59,            0.038844,            0.034237,            0.017784,             0.74149,             0.68643,             0.74425,             0.47169,             0.03258,            0.019626,           0.0081095,            0.008086,            0.008086,            0.008086
                  60,            0.038982,             0.03435,            0.017894,             0.73881,             0.69241,             0.74516,             0.47214,             0.03255,            0.019621,            0.008097,            0.008053,            0.008053,            0.008053
                  61,            0.038871,            0.034541,            0.018047,             0.73896,             0.69362,             0.74487,             0.47257,            0.032531,             0.01962,           0.0080899,             0.00802,             0.00802,             0.00802
                  62,            0.038963,            0.034059,            0.018231,             0.74129,             0.69353,             0.74616,             0.47276,            0.032514,            0.019618,           0.0080451,            0.007987,            0.007987,            0.007987
                  63,            0.038929,            0.034467,            0.017928,             0.74016,             0.69435,             0.74656,             0.47336,            0.032506,            0.019613,           0.0080009,            0.007954,            0.007954,            0.007954
                  64,            0.038791,            0.034386,             0.01766,             0.74066,             0.69356,             0.74691,             0.47337,            0.032497,            0.019607,           0.0079931,            0.007921,            0.007921,            0.007921
                  65,            0.038739,            0.034346,            0.017839,             0.73935,             0.69195,             0.74738,             0.47403,            0.032478,            0.019595,           0.0079857,            0.007888,            0.007888,            0.007888
                  66,             0.03895,            0.034457,            0.017882,             0.74364,             0.68923,             0.74774,             0.47436,            0.032465,            0.019585,           0.0079829,            0.007855,            0.007855,            0.007855
                  67,             0.03862,            0.034066,            0.017504,             0.74279,             0.69101,             0.74839,              0.4748,            0.032453,            0.019587,           0.0079907,            0.007822,            0.007822,            0.007822
                  68,            0.038887,            0.034061,            0.017565,             0.74165,             0.69135,             0.74856,             0.47473,            0.032433,             0.01958,            0.007988,            0.007789,            0.007789,            0.007789
                  69,            0.038529,            0.034195,            0.017435,             0.74073,             0.69173,             0.74872,             0.47512,            0.032418,            0.019569,           0.0079855,            0.007756,            0.007756,            0.007756
                  70,            0.038631,            0.034012,            0.017547,             0.74002,             0.69318,             0.74941,             0.47505,            0.032406,             0.01956,           0.0079825,            0.007723,            0.007723,            0.007723
                  71,            0.038576,            0.033937,            0.017356,              0.7451,             0.69102,             0.74976,             0.47568,            0.032396,            0.019555,           0.0079793,             0.00769,             0.00769,             0.00769
                  72,            0.038463,            0.034203,            0.017466,             0.74477,             0.69105,             0.75013,             0.47568,            0.032382,            0.019552,           0.0079701,            0.007657,            0.007657,            0.007657
                  73,            0.038474,            0.033914,            0.017439,             0.74402,             0.69045,             0.75006,             0.47555,            0.032369,            0.019553,           0.0079687,            0.007624,            0.007624,            0.007624
                  74,            0.038364,            0.034199,            0.017618,              0.7445,             0.69085,             0.75028,             0.47614,            0.032359,             0.01955,           0.0079644,            0.007591,            0.007591,            0.007591
                  75,            0.038475,            0.034335,            0.017281,             0.74516,             0.69053,             0.75051,             0.47653,            0.032352,            0.019544,           0.0079682,            0.007558,            0.007558,            0.007558
                  76,            0.038331,            0.034089,            0.017508,             0.74467,              0.6914,             0.75046,             0.47685,            0.032349,            0.019543,           0.0079656,            0.007525,            0.007525,            0.007525
                  77,            0.038319,            0.034108,            0.017501,             0.74417,             0.69398,             0.75085,             0.47726,            0.032342,             0.01954,           0.0079679,            0.007492,            0.007492,            0.007492
                  78,            0.038277,             0.03395,            0.017151,             0.74205,             0.69643,             0.75113,             0.47743,            0.032334,            0.019537,           0.0079621,            0.007459,            0.007459,            0.007459
                  79,            0.038271,            0.033916,             0.01728,             0.74167,             0.69742,             0.75118,             0.47798,            0.032325,            0.019535,           0.0079562,            0.007426,            0.007426,            0.007426
